ANNEE;NOM_MAT;TYPE;STATUT;FI_ET;FI_EJ;COM;NOMCOM;CPO;ADRESSE;LIT_OBS;SALTRAV;ACCTOT
2023;POLYCL L'ORMEAU SITE CENTRE TARBES;1;PRIVE LUCRATIF;650780679;650000243;65440;TARBES;65000;12B CHE DE L'ORMEAU;20;3;709
2015;CHI E. DURKHEIM - PLATEAU DE LA JUSTICE;2b;PUBLIC;880000021;880007059;88160;EPINAL;88021;3 AV ROBERT SCHUMAN;13;3;533
2023;CHI HMV - SITE SAINT DIE DES VOSGES;1;PUBLIC;880000047;880009147;88413;SAINT DIE DES VOSGES;88100;26 R DU NOUVEL HOPITAL;14;2;499
2018;CENTRE HOSPITALIER DE REMIREMONT;2a;PUBLIC;880000062;880780093;88383;REMIREMONT;88204;1 R GEORGES LANG;15;3;745
2018;POLYCLINIQUE LA LIGNE BLEUE;1;PRIVE LUCRATIF;880788591;880780150;88160;EPINAL;88060;9 AV DU ROSE POIRIER;22;5;1061
2016;CH AUXERRE;2b;PUBLIC;890975527;890000037;89024;AUXERRE;89011;2 BD DE VERDUN;45;5;1982
2016;CH HNFC SITE DE BELFORT;2b;PUBLIC;900000167;900000365;90010;BELFORT;90016;14 R DE MULHOUSE;33;5;1994
2020;CH DES DEUX VALLEES SITE LONGJUMEAU;2b;PUBLIC;910000298;910110055;91345;LONGJUMEAU;91160;159 R DU PDT FRANCOIS MITTERRAND;36;4;2111
2013;CH SUD ESSONNE DOURDAN ETAMPES - Site d'Etampes;2a;PUBLIC;910001973;910019447;91223;ETAMPES;91152;26 AV CHARLES DE GAULLE;24;3;1016
2016;CH SUD FRANCILIEN SITE JEAN JAURES;3;PUBLIC;910020254;910002773;91174;CORBEIL-ESSONNES;91100;40 AV SERGE DASSAULT;84;9;5259
2016;HOPITAL PRIVE D'ATHIS MONS SITE CARON;1;PRIVE LUCRATIF;910300359;910000587;91027;ATHIS-MONS;91205;111 R CARON;25;4;663
2022;CLINIQUE DE L ESSONNE;1;PRIVE LUCRATIF;910805357;910001643;91228;EVRY COURCOURONNES;91024;BD DES CHAMPS ELYSEES;21;3;578
2016;CH DE NANTERRE;1;PUBLIC;920000577;920110020;92050;NANTERRE;92014;403 AV DE LA REPUBLIQUE;24;4;1305
2013;CH DE NEUILLY/SEINE;2b;PUBLIC;920000585;920026374;92051;NEUILLY-SUR-SEINE;92205;36 BD DU GENERAL LECLERC;36;5;2223
2015;CH DE NEUILLY/SEINE;2b;PUBLIC;920000585;920026374;92051;NEUILLY-SUR-SEINE;92205;36 BD DU GENERAL LECLERC;32;5;2288
2014;CH DES QUATRE VILLES SITE ST CLOUD;2a;PUBLIC;920000619;920009909;92064;SAINT-CLOUD;92211;3 PL SILLY;28;5;1643
2015;CH DES QUATRE VILLES SITE ST CLOUD;2a;PUBLIC;920000619;920009909;92064;SAINT-CLOUD;92211;3 PL SILLY;52;5;2733
2019;INSTITUT FRANCO BRITANNIQUE KLEBER;2a;PRIVE LUCRATIF;920000643;920032505;92044;LEVALLOIS-PERRET;92309;4 R KLEBER;38;8;1899
2023;HOPITAL FOCH;2b;PRIVE NON LUCRATIF;920000650;920150059;92073;SURESNES;92151;40 R WORTH;45;9;3442
2016;HU PARIS NORD SITE BEAUJON APHP;1;PUBLIC;920100039;750712184;92024;CLICHY;92118;100 BD DU GENERAL LECLERC;15;4;1088
2023;HU PARIS NORD SITE LOUIS MOURIER APHP;3;PUBLIC;920100047;750712184;92025;COLOMBES;92701;178 R DES RENOUILLIERS;58;7;3078
2016;HOPITAL PRIVE D'ANTONY;2a;PRIVE LUCRATIF;920300043;920001526;92002;ANTONY;92160;1 R VELPEAU;52;11;3741
2014;CLINIQUE SAINTE-ISABELLE;1;PRIVE LUCRATIF;920300670;920000965;92051;NEUILLY-SUR-SEINE;92200;24 BD DU CHATEAU;28;5;465
2017;GHI LE RAINCY MONTFERMEIL;2b;PUBLIC;930000286;930021480;93047;MONTFERMEIL;93370;10 R DU GENERAL LECLERC;35;5;2233
2013;CTRE HOSP  INTERCOMM  ANDRE GREGOIRE;3;PUBLIC;930000302;930110036;93048;MONTREUIL;93105;56 BD DE LA BOISSIERE;58;6;3058
2018;CH GENERAL DELAFONTAINE;3;PUBLIC;930000328;930110051;93066;SAINT-DENIS;93205;2 R DU DR DELAFONTAINE;85;7;4333
2022;CH GENERAL DELAFONTAINE;3;PUBLIC;930000328;930110051;93066;SAINT DENIS;93205;2 R DU DR DELAFONTAINE;72;7;3581
2018;CHI ROBERT BALLANGER;2b;PUBLIC;930000336;930110069;93005;AULNAY-SOUS-BOIS;93602;BD ROBERT BALLANGER;36;7;3302
2018;MATERNITE DES LILAS;1;PRIVE NON LUCRATIF;930150032;930000815;93045;LES LILAS;93260;12 R DU COQ FRANCAIS;30;4;1408
2013;HOPITAL EUROPEEN DE PARIS GVM CARE & RESEARCH;2a;PRIVE LUCRATIF;930300025;930000393;93001;AUBERVILLIERS;93308;120 AV DE LA REPUBLIQUE;24;4;1096
2023;HOPITAL EUROPEEN LA ROSERAIE;2a;PRIVE LUCRATIF;930300025;930000393;93001;AUBERVILLIERS;93308;59 Rue Henri Barbusse;24;4;271
2020;HOPITAL PRIVE DE LA SEINE SAINT DENIS;2b;PRIVE LUCRATIF;930300116;930000427;93007;BLANC MESNIL;93150;7 AV HENRI BARBUSSE;47;6;2272
2021;HOPITAL PRIVE DE LA SEINE SAINT DENIS;2b;PRIVE LUCRATIF;930300116;930000427;93007;BLANC MESNIL;93156;7 AV HENRI BARBUSSE;47;6;2271
2020;POLYCLINIQUE VAUBAN SANTE;1;PRIVE LUCRATIF;930300298;930025523;93046;LIVRY GARGAN;93190;135 AV VAUBAN;30;4;942
2014;C.H.I DE VILLENEUVE-ST-GEORGES;2b;PUBLIC;940000599;940110042;94078;VILLENEUVE-SAINT-GEORGES;94195;40 ALL DE LA SOURCE;52;6;2686
2022;HOPITAL PRIVE DE MARNE LA VALLEE;2a;PRIVE LUCRATIF;940006679;940017338;94015;BRY SUR MARNE;94360;33 R LEON MENU;40;9;1987
2022;CLINIQUE GASTON METIVET;1;PRIVE LUCRATIF;940300379;940000805;94068;SAINT MAUR DES FOSSES;94100;48 R ALSACE LORRAINE;19;2;817
2020;CH VICTOR DUPOUY;3;PUBLIC;950000307;950110015;95018;ARGENTEUIL;95107;69 R DU LT COLONEL PRUD HON;47;8;3121
2018;GH CARNELLE PORTES OISE SITE FRITSCHI;2a;PUBLIC;950000315;950001370;95052;BEAUMONT-SUR-OISE;95260;25 R EDMOND TURCQ;22;3;1016
2021;CH RENE DUBOS;3;PUBLIC;950000364;950110080;95500;PONTOISE;95300;6 AV DE L ILE DE FRANCE;81;8;4332
2014;CLINIQUE CONTI;1;PRIVE LUCRATIF;950300202;950000521;95313;L'ISLE-ADAM;95290;3 CHE DES TROIS SOURCES;20;3;922
2021;CLINIQUE CONTI;1;PRIVE LUCRATIF;950300202;950000521;95313;ISLE ADAM;95290;3 CHE DES TROIS SOURCES;20;3;861
2016;HOPITAL PRIVE NORD PARISIEN;2a;PRIVE LUCRATIF;950300277;950000547;95585;SARCELLES;95200;3 BD DE LATTRE DE TASSIGNY;39;4;1640
2020;HOPITAL PRIVE NORD PARISIEN;2a;PRIVE LUCRATIF;950300277;950000547;95585;SARCELLES;95200;3 BD DE LATTRE DE TASSIGNY;28;3;1390
2020;CLINIQUE CLAUDE BERNARD;2a;PRIVE LUCRATIF;950807982;950001636;95219;ERMONT;95124;9 AV LOUIS ARMAND;30;6;1847
2016;POLYCLINIQUE DE LA GUADELOUPE;1;PRIVE LUCRATIF;970100012;970100103;9A101;LES ABYMES;97139;MORNE JOLIVIERE;19;4;844
2015;CENTRE HOSPITALIER DE LA BASSE -TERRE;3;PUBLIC;970100392;970100178;9A105;BASSE-TERRE;97109;AV GASTON FEUILLARD;20;3;816
2017;CENTRE HOSPITALIER DE LA BASSE -TERRE;3;PUBLIC;970100392;970100178;9A105;BASSE-TERRE;97100;AV GASTON FEUILLARD;15;3;633
2016;CLINIQUE -LES EAUX CLAIRES-;1;PRIVE LUCRATIF;970107249;970100731;9A103;BAIE-MAHAULT;97122;;26;4;1005
2016;CLINIQUE SAINT PAUL;1;PRIVE LUCRATIF;970202313;970200168;9B209;FORT-DE-FRANCE;97200;4 R DES HIBISCUS;18;3;832
2020;CLINIQUE SAINT PAUL;1;PRIVE LUCRATIF;970202313;970200168;9B209;FORT DE FRANCE;97200;4 R DES HIBISCUS;16;3;778
2014;CENTRE DE SANTE MARTINIQUAIS;1;PRIVE LUCRATIF;970202321;970210423;9B229;SCHOELCHER;97233;RTE DE CLUNY;24;4;660
2017;CLINIQUE SAINTE MARIE;1;PRIVE LUCRATIF;970202321;970210423;9B229;SCHOELCHER;97233;RTE DE CLUNY;10;3;281
2021;CHU DE MARTINIQUE SITE DE TRINITE;1;PUBLIC;970211223;970211207;9B230;TRINITE;97220;;19;3;496
2023;CHU DE MARTINIQUE SITE DE TRINITE;1;PUBLIC;970211223;970211207;9B230;LA TRINITE;97220;;13;3;170
2014;CHU DE MARTINIQUE SITE MERE ENFANT;3;PUBLIC;970211256;970211207;9B209;FORT-DE-FRANCE;97261;;44;5;2244
2022;CHU DE MARTINIQUE SITE MERE ENFANT;3;PUBLIC;970211256;970211207;9B209;FORT DE FRANCE;97261;R DU COUP DE MAIN;42;5;2130
2022;CENTRE HOSPITALIER DE CAYENNE;3;PUBLIC;970300026;970302022;9C302;CAYENNE;97306;R DES FLAMBOYANTS;111;8;3598
2016;CENTRE HOSPITALIER -FRANCK-JOLY-;2b;PUBLIC;970300083;970302121;9C311;SAINT-LAURENT-DU-MARONI;97320;BD GENERAL DE GAULLE;45;4;2547
2019;CENTRE HOSPITALIER -FRANCK-JOLY-;2b;PUBLIC;970300083;970302121;9C311;SAINT-LAURENT-DU-MARONI;97320;1465 BD DE LA LIBERTE;60;6;3111
2015;CENTRE MED.-CHIRURG. DE KOUROU;2a;PRIVE NON LUCRATIF;970300265;750721334;9C304;KOUROU;97387;AV LEOPOLD-HEDER;20;3;752
2015;CHU NORD;3;PUBLIC;970400024;970408589;9D411;SAINT-DENIS;97400;ALLEE DES TOPAZES;47;5;2322
2014;CHU SUD (SITE SAINT PIERRE);3;PUBLIC;970400057;970408589;9D416;SAINT-PIERRE;97448;AV FRANCOIS MITTERRAND;55;8;4271
2017;CHU SITE SUD (SAINT PIERRE);3;PUBLIC;970400057;970408589;9D416;SAINT-PIERRE;97448;AV FRANCOIS MITTERRAND;75;8;4072
2021;GHER (SAINT-BENOIT);2a;PUBLIC;970400073;970403606;9D410;SAINT BENOIT;97470;30 RTE RN 3;26;5;1370
2013;CLINIQUE JEANNE D'ARC;2a;PRIVE LUCRATIF;970462024;970400255;9D407;LE PORT;97421;1 R ALSACE LORRAINE LYON;32;3;1170
2015;CLINIQUE JEANNE D'ARC;2a;PRIVE LUCRATIF;970462024;970400255;9D407;LE PORT;97421;1 R ALSACE LORRAINE LYON;32;3;1294
2016;CLINIQUE JEANNE D'ARC;2a;PRIVE LUCRATIF;970462024;970400255;9D407;LE PORT;97421;R ALSACE LORRAINE;32;3;1265
2019;CLINIQUE JEANNE D'ARC;2a;PRIVE LUCRATIF;970462024;970400255;9D407;LE PORT;97420;R ALSACE LORRAINE;32;3;1084
2018;CLINIQUE STE-CLOTILDE;2a;PRIVE LUCRATIF;970462107;970400305;9D411;SAINT-DENIS;97492;127 RTE DU BOIS DE NEFLES;40;5;1917
2023;CHM;3;PUBLIC;980500011;980500003;9F611;MAMOUDZOU;97600;R DE L'HOPITAL;162;14;9326
2013;CH FLEYRIAT;2b;PUBLIC;010000024;010780054;01053;BOURG-EN-BRESSE;01012;900 RTE DE PARIS;43;5;2179
2021;CH DE FLEYRIAT;2b;PUBLIC;010000024;010780054;01451;VIRIAT;01440;900 RTE DE PARIS;35;5;2071
2016;CH DOCTEUR RECAMIER BELLEY;1;PUBLIC;010000032;010780062;01034;BELLEY;01300;52 Rue GEORGES GIRERD;10;2;418
2014;CENTRE HOSPITALIER DE LAON;2b;PUBLIC;020000394;020000253;02408;LAON;02001;33 R MARCELIN BERTHELOT;24;3;961
2016;CH SOISSONS;2b;PUBLIC;020000519;020000261;02722;SOISSONS;02209;46 AV DU GÉNÉRAL DE GAULLE;28;3;1101
2016;CENTRE HOSPITALIER DE MONTLUCON;2b;PUBLIC;030000079;030780100;03185;MONTLUCON;03109;18 AV DU 8 MAI 1945;24;3;1089
2016;CH JACQUES LACARIN VICHY;2a;PUBLIC;030000087;030780118;03310;VICHY;03201;BD DENIERE;24;0;1094
2020;CH JACQUES LACARIN VICHY;2a;PUBLIC;030000087;030780118;03310;VICHY;03201;BD DENIERE;18;3;954
2014;CENTRE HOSPITALIER DE DIGNE LES BAINS;1;PUBLIC;040000911;040788879;04070;DIGNE-LES-BAINS;04003;QUA SAINT CHRISTOPHE;15;2;401
2018;CENTRE HOSPITALIER DE DIGNE LES BAINS;1;PUBLIC;040000911;040788879;04070;DIGNE-LES-BAINS;04995;QUA SAINT CHRISTOPHE;10;2;319
2021;CENTRE HOSPITALIER DE DIGNE LES BAINS;1;PUBLIC;040000911;040788879;04070;DIGNE LES BAINS;04003;QUA SAINT CHRISTOPHE;10;2;366
2018;CH DES ESCARTONS DE BRIANCON;1;PUBLIC;050000231;050000116;05023;BRIANCON;05105;24 AV ADRIEN DAURELLE;9;2;340
2018;CHI DES ALPES DU SUD SITE DE GAP;2a;PUBLIC;050000348;050002948;05061;GAP;05007;1 PL AUGUSTE MURET;18;4;943
2022;CHI DES ALPES DU SUD SITE DE GAP;2a;PUBLIC;050000348;050002948;05061;GAP;05007;1 PL AUGUSTE MURET;16;4;1007
2015;CENTRE HOSPITALIER DE GRASSE;2b;PUBLIC;060000478;060780897;06069;GRASSE;06135;CHE DE CLAVARY;32;6;1674
2016;CENTRE HOSPITALIER DE GRASSE;2b;PUBLIC;060000478;060780897;06069;GRASSE;06135;CHE DE CLAVARY;32;6;1734
2023;CH D'ANTIBES JUAN LES PINS;2a;PUBLIC;060000510;060780954;06004;ANTIBES;06606;107 AV DE NICE;16;3;940
2015;POLYCLINIQUE SAINT JEAN;1;PRIVE LUCRATIF;060780517;060000239;06027;CAGNES-SUR-MER;06800;92 AV DU DOCTEUR MAURICE DONAT;21;5;1062
2016;POLYCLINIQUE SAINT JEAN;1;PRIVE LUCRATIF;060780517;060000239;06027;CAGNES-SUR-MER;06800;92 AV DU DOCTEUR MAURICE DONAT;21;5;1035
2016;CHU DE NICE HOPITAL DE L'ARCHET;3;PUBLIC;060789195;060785011;06088;NICE;06200;151 RTE SAINT ANTOINE DE GINESTIERE;59;9;3118
2023;CHU DE NICE HOPITAL DE L'ARCHET;3;PUBLIC;060789195;060785011;06088;NICE;06202;151 RTE SAINT ANTOINE DE GINESTIERE;59;11;3378
2022;CH ARDECHE NORD;2a;PUBLIC;070000179;070780358;07010;ANNONAY;07103;R DU BON PASTEUR;17;3;649
2023;CH ARDECHE NORD;2a;PUBLIC;070000179;070780358;07010;ANNONAY;07103;R DU BON PASTEUR;17;3;616
2013;CH D'AUBENAS;2a;PUBLIC;070000609;070005566;07019;AUBENAS;07205;14 AV DE BELLANDE;17;3;785
2016;CENTRE HOSPITALIER D'AUBENAS;2a;PUBLIC;070000609;070005566;07019;AUBENAS;07205;14 AV DE BELLANDE;16;3;639
2018;CENTRE HOSPITALIER D'AUBENAS;2a;PUBLIC;070000609;070005566;07019;AUBENAS;07205;14 AV DE BELLANDE;16;3;674
2014;HPDA CLINIQUE PASTEUR;1;PRIVE LUCRATIF;070780424;070000245;07102;GUILHERAND-GRANGES;07500;294 BD GENERAL DE GAULLE;26;4;1253
2016;CENTRE HOSPITALIER DE SEDAN;2a;PUBLIC;080000110;080000037;08409;SEDAN;08209;2 AV GENERAL MARGUERITTE;16;2;671
2018;CH ARIEGE COUSERANS SITE ST LIZIER;1;PUBLIC;090000183;090781816;09268;SAINT-LIZIER;09190;;4;2;169
2014;CENTRE HOSPITALIER DE TROYES;3;PUBLIC;100000090;100000017;10387;TROYES;10003;101 AV ANATOLE FRANCE;47;5;2263
2015;CENTRE HOSPITALIER DE TROYES;3;PUBLIC;100000090;100000017;10387;TROYES;10003;101 AV ANATOLE FRANCE;51;5;2337
2015;GHAM - SITE DE ROMILLY-SUR-SEINE;1;PUBLIC;100000199;100006279;10323;ROMILLY-SUR-SEINE;10105;AV PAUL V. COUTURIER;18;3;542
2020;CENTRE HOSPITALIER DE ROMILLY/SEINE;1;PUBLIC;100000199;100006279;10323;ROMILLY SUR SEINE;10105;AV PAUL V COUTURIER;18;3;406
2023;CH CARCASSONNE;2a;PUBLIC;110000023;110780061;11069;CARCASSONNE;11010;1060 CHE DE LA MADELEINE;30;5;1490
2022;CH NARBONNE;1;PUBLIC;110000056;110780137;11262;NARBONNE;11108;BD DOCTEUR LACROIX;24;4;883
2018;CH DE RODEZ HOPITAL JACQUES PUEL;2b;PUBLIC;120000039;120780044;12202;RODEZ;12027;AV DE L'HOPITAL;24;3;1305
2016;CH VILLEFRANCHE DE ROUERGUE;1;PUBLIC;120000054;120780069;12300;VILLEFRANCHE-DE-ROUERGUE;12200;AV CAYLET;12;3;493
2015;CH PIERRE DELPECH DECAZEVILLE;1;PUBLIC;120000070;120780085;12089;DECAZEVILLE;12300;60 AV PROSPER-ALFARIC;15;2;271
2013;CENTRE HOSPITALIER DE MILLAU;1;PUBLIC;120004569;120004528;12145;MILLAU;12101;265 BD ACHILLE SOUQUES;10;2;301
2020;CH MILLAU;1;PUBLIC;120004569;120004528;12145;MILLAU;12101;265 BD ACHILLE SOUQUES;12;2;340
2017;CH EMILE BOREL ST AFFRIQUE;1;PUBLIC;120004668;120004619;12208;SAINT-AFFRIQUE;12402;88 AV DR LUCIEN GALTIER;6;2;229
2021;CH EMILE BOREL ST AFFRIQUE;1;PUBLIC;120004668;120004619;12208;SAINT AFFRIQUE;12402;88 AV DR LUCIEN GALTIER;6;2;169
2016;CHI SITE D'AIX EN PROVENCE;2b;PUBLIC;130000409;130041916;13001;AIX-EN-PROVENCE;13616;AV DES TAMARIS;35;5;1735
2020;HOPITAL DU PAYS SALONNAIS;2a;PUBLIC;130001225;130782634;13103;SALON DE PROVENCE;13658;207 AV JULIEN FABRE;22;3;1125
2022;HOPITAL DU PAYS SALONAIS;2a;PUBLIC;130001225;130782634;13103;SALON DE PROVENCE;13658;207 AV JULIEN FABRE;22;3;1146
2014;CH JOSEPH IMBERT D'ARLES;1;PUBLIC;130002827;130789274;13004;ARLES;13637;QUA FOURCHON;27;3;1105
2017;CH JOSEPH IMBERT D'ARLES;1;PUBLIC;130002827;130789274;13004;ARLES;13637;QUA FOURCHON;20;3;965
2015;HOPITAL NORD;3;PUBLIC;130780521;130786049;13055;MARSEILLE 15EME;13015;CHE DE BOURRELY;43;5;2399
2016;HOPITAL PRIVE LA CASAMANCE;1;PRIVE LUCRATIF;130781479;130000599;13005;AUBAGNE;13675;33 BD DES FARIGOULES;15;3;464
2019;APHM HOPITAL DE LA CONCEPTION;3;PUBLIC;130783236;130786049;13055;MARSEILLE 05EME;13005;147 BD BAILLE;62;5;2765
2013;CLINIQUE BOUCHARD;2a;PRIVE LUCRATIF;130783327;130001415;13055;MARSEILLE 06EME;13006;77 R DU DOCTEUR ESCAT;39;5;2055
2015;HÔPITAL PRIVÉ MARSEILLE BEAUREGARD;2a;PRIVE LUCRATIF;130784713;130038847;13055;MARSEILLE 12EME;13012;12 IMP DU LIDO;36;8;2228
2022;HP MARSEILLE BEAUREGARD VERT COTEAU;2a;PRIVE LUCRATIF;130784713;130038847;13055;MARSEILLE 12E ARRONDISSEMENT;13012;12 IMP DU LIDO;37;8;2367
2020;HOPITAL SAINT JOSEPH;2b;PRIVE NON LUCRATIF;130785652;130014228;13055;MARSEILLE 8E ARRONDISSEMENT;13008;26 BD DE LOUVAIN;75;10;4741
2014;CHU COTE DE NACRE - CAEN;3;PUBLIC;140000209;140000100;14118;CAEN;14033;AV COTE DE NACRE;70;7;3087
2021;CHU COTE DE NACRE - CAEN;3;PUBLIC;140000209;140000100;14118;CAEN;14033;AV COTE DE NACRE;72;7;3224
2020;POLYCLINIQUE DU PARC - CAEN;2a;PRIVE LUCRATIF;140016759;140003146;14118;CAEN;14052;20 AV GEORGES GUYNEMER;44;5;1818
2018;CENTRE HOSPITALIER - AUNAY-BAYEUX;1;PUBLIC;140024886;140000092;14047;BAYEUX;14401;13 RUE DE NESMOND;16;3;516
2013;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;1;PUBLIC;140026410;140026279;14202;CRICQUEBOEUF;14113;RTE DEPARTEMENTALE 62;20;4;486
2016;CENTRE CLINICAL SA;1;PRIVE LUCRATIF;160013207;160001632;16374;SOYAUX;16800;2 CHE DE FREGENEUIL;40;6;989
2016;CHI DU PAYS DE COGNAC;1;PUBLIC;160015368;160014411;16102;COGNAC;16112;65 AV D ANGOULEME;15;3;606
2015;CTRE HOSP. DE SAINTONGE - SAINTES;2b;PUBLIC;170000103;170780175;17415;SAINTES;17108;11 BD AMBROISE PARE;32;4;1447
2020;CENTRE HOSPITALIER ROCHEFORT;2a;PUBLIC;170000152;170780225;17299;ROCHEFORT;17301;1 AV BELIGON;18;3;1066
2014;CENTRE HOSPITALIER DE VIERZON;1;PUBLIC;180000200;180000051;18279;VIERZON;18102;33 R LEO MERIGOT;15;3;541
2016;CH DE VIERZON;1;PUBLIC;180000200;180000051;18279;VIERZON;18106;33 Rue LEO MERIGOT;15;3;479
2020;CH DE VIERZON;1;PUBLIC;180000200;180000051;18279;VIERZON;18102;33 R LEO MERIGOT;15;3;397
2016;CENTRE HOSPITALIER DUBOIS BRIVE;2a;PUBLIC;190000018;190000042;19031;BRIVE-LA-GAILLARDE;19312;3 BD DOCTEUR VERLHAC;24;5;825
2017;CENTRE HOSPITALIER DUBOIS BRIVE;2a;PUBLIC;190000018;190000042;19031;BRIVE-LA-GAILLARDE;19312;3 BD DOCTEUR VERLHAC;24;5;806
2020;CENTRE HOSPITALIER DUBOIS BRIVE;2a;PUBLIC;190000018;190000042;19031;BRIVE LA GAILLARDE;19312;3 BD DOCTEUR VERLHAC;28;5;1286
2018;CENTRE HOSPITALIER COEUR DE CORREZE;2a;PUBLIC;190000026;190000059;19272;TULLE;19012;3 PL DOCTEUR MASCHAT;15;4;657
2016;CENTRE HOSPITALIER D'USSEL;1;PUBLIC;190000091;190000075;19275;USSEL;19208;2 AV DU DOCTEUR ROULLET;6;2;193
2013;HÔPITAL LE BOCAGE CHU DIJON;3;PUBLIC;210987558;210780581;21231;DIJON;21079;2 BD Mal de Lattre de Tassigny;64;8;3007
2016;HOSPICES CIVILS DE BEAUNE;1;PUBLIC;210987657;210012175;21054;BEAUNE;21203;AV GUIGONE DE SALINS;24;2;695
2017;HOSPICES CIVILS DE BEAUNE;1;PUBLIC;210987657;210012175;21054;BEAUNE;21203;AV GUIGONE DE SALINS;24;2;636
2020;HOSPICES CIVILS DE BEAUNE;2a;PUBLIC;210987657;210012175;21054;BEAUNE;21203;AV GUIGONE DE SALINS;23;2;657
2023;CENTRE HOSPITALIER ROBERT MORLEVAT;1;PUBLIC;210987699;210780706;21603;SEMUR EN AUXOIS;21140;3 AV PASTEUR;12;2;409
2021;CTRE HOSPITALIER DINAN;;PUBLIC;220000095;220000046;22050;DINAN;22101;74 R CHATEAUBRIAND;5;0;1
2013;C.H.P. SITE DU LITTORAL;2a;PRIVE LUCRATIF;220000301;220000673;22278;SAINT-BRIEUC;22003;58 R LA FAYETTE;24;5;876
2022;C.H DE BERGERAC;1;PUBLIC;240000372;240000059;24037;BERGERAC;24108;9 AV ALBERT CALMETTE;15;3;706
2016;CENTRE HOSPITALIER SARLAT;1;PUBLIC;240000687;240000448;24520;SARLAT-LA-CANEDA;24206;;15;3;241
2013;C H   BOULLOCHE  MONTBELIARD;2a;PUBLIC;250000114;900000365;25388;MONTBELIARD;25209;2 R DU DOCTEUR FLAMAND;30;4;1381
2015;CH BOULLOCHE HNFC MONTBELIARD;2a;PUBLIC;250000114;900000365;25388;MONTBELIARD;25209;2 R DU DOCTEUR FLAMAND;28;4;1588
2014;CHI HC SITE RIVES DU DOUBS PONTARLIER;2a;PUBLIC;250000700;250000452;25462;PONTARLIER;25304;2 FG SAINT ETIENNE;22;4;1192
2021;CHRU JEAN MINJOZ;3;PUBLIC;250006954;250000015;25056;BESANCON;25030;3 BD FLEMING;56;7;2708
2014;HOSPITALIA MUTUALITE PFC;2a;PRIVE NON LUCRATIF;250011848;250017803;25056;BESANCON;25052;4 R RODIN;32;6;1845
2015;HOSPITALIA MUTUALITE PFC;2a;PRIVE NON LUCRATIF;250011848;250017803;25056;BESANCON;25052;4 R RODIN;32;6;1661
2017;HOSPITALIA MUTUALITE PFC;2a;PRIVE NON LUCRATIF;250011848;250017803;25056;BESANCON;25052;4 R AUGUSTE RODIN;24;5;1383
2022;CH DE VALENCE;2b;PUBLIC;260000013;260000021;26362;VALENCE;26953;179 BD MARECHAL JUIN;41;5;2650
2023;CH DE VALENCE;2b;PUBLIC;260000013;260000021;26362;VALENCE;26953;179 BD MARECHAL JUIN;41;5;2509
2018;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;2a;PUBLIC;260000120;260016910;26281;ROMANS-SUR-ISERE;26102;607 AV GENEVIEVE DE GAULLE;25;3;1099
2022;CH PORTES PROVENCE MONTELIMAR;2a;PUBLIC;260000138;260000047;26198;MONTELIMAR;26216;QUA BEAUSSERET;32;6;1957
2015;CH BERNAY;1;PUBLIC;270000045;270000060;27056;BERNAY;27303;5 R ANNE DE TICHEVILLE;14;2;406
2014;CH EVREUX CHI EURE-SEINE;2b;PUBLIC;270000359;270023724;27229;EVREUX;27015;LEON SCHWARTZENBERG;34;5;2041
2019;CH EVREUX CH EURE-SEINE;2b;PUBLIC;270000359;270023724;27229;EVREUX;27015;R LEON SCHWARTZENBERG;34;5;2061
2013;CH GISORS;1;PUBLIC;270000367;270000086;27284;GISORS;27140;RTE DE ROUEN;13;0;611
2020;CH DREUX;2a;PUBLIC;280000084;280000183;28134;DREUX;28102;44 AV PRESIDENT JOHN-FIT- KENNEDY;22;4;1235
2014;CH CHATEAUDUN;1;PUBLIC;280000662;280500075;28088;CHATEAUDUN;28205;RTE JALLANS;15;2;447
2019;CHIC QUIMPER;2b;PUBLIC;290000025;290020700;29232;QUIMPER;29107;14 AV YVES THEPOT;40;7;2353
2023;C.H. DES PAYS DE MORLAIX;2a;PUBLIC;290000033;290021542;29151;MORLAIX;29672;15 R KERSAINT GILLY;15;3;514
2014;CHRU HOPITAL MORVAN;3;PUBLIC;290000058;290000017;29019;BREST;29609;2 AV FOCH;55;5;1865
2018;CH FERDINAND GRALL LANDERNEAU;1;PUBLIC;290000173;290000041;29103;LANDERNEAU;29207;1 RTE DE PENCRAN;17;2;583
2016;CHRU BREST SITE HOPITAL DE CARHAIX;1;PUBLIC;290000256;290000017;29024;CARHAIX-PLOUGUER;29835;R DR MENGUY;12;2;242
2018;CHRU BREST SITE HOPITAL DE CARHAIX;1;PUBLIC;290000256;290000017;29024;CARHAIX-PLOUGUER;29835;R DR MENGUY;12;2;216
2023;CHRU BREST SITE HOPITAL DE CARHAIX;1;PUBLIC;290000256;290000017;29024;CARHAIX PLOUGUER;29835;R DR MENGUY;8;2;211
2013;SA KERAUDREN-GRAND LARGE;2a;PRIVE LUCRATIF;290019777;290022508;29019;BREST;29220;R ERNESTINE DE TREMAUDAN;45;9;1874
2014;SA KERAUDREN-GRAND LARGE;2a;PRIVE LUCRATIF;290019777;290022508;29019;BREST;29220;R ERNESTINE DE TREMAUDAN;45;9;2290
